hostname,n_planets,avg_pl_rade,avg_pl_bmasse,avg_orbper,sy_dist,st_teff
Kepler-424,2,11.34,1271.2649999999999,113.3059322,698.646,5460.0
K2-5,2,2.085,5.02,8.334175,202.943,3930.0
Kepler-239,2,2.42,6.445,33.995574500000004,648.109,4914.0
GJ 887,2,2.275,5.9,15.525500000000001,3.29,3688.0
gam Lib,2,13.25,1010.21759165,690.685,47.4017,4879.0
TOI-5489,2,1.3399999999999999,2.3600000000000003,4.03674,45.0907,3547.0
Kepler-165,2,2.275,5.795,11.746918999999998,560.885,5211.0
HD 148164,2,13.25,1015.46685,2695.275,77.1971,6032.0
HD 51608,2,3.745,13.54,55.008599999999994,35.0553,5358.0
K2-316,2,1.58,3.17,3.1965,112.486,3436.0
Kepler-804,2,1.54,2.985,12.01321184,649.65,5817.0
Kepler-1802,2,1.9965000000000002,4.715,24.293150425,636.694,4245.0
HD 155358,2,13.850000000000001,287.82585,293.1,43.6197,5905.0
OGLE-2018-BLG-1011L,2,13.35,730.0,,7100.0,
Kepler-903,2,2.2699999999999996,5.82,36.6368139,1369.24,5682.0
HD 75784,2,13.3,1055.1956,4120.6,85.4321,4867.0
Kepler-1610,2,1.85,4.12,26.84350212,864.331,5383.0
HAT-P-44,2,13.461,691.5855,438.2506095,347.85,5295.0
Kepler-143,2,2.89,8.845,21.545047,809.467,5848.0
Kepler-990,2,2.065,5.115,5.227794294000001,802.163,5948.0
HD 116029,2,13.649999999999999,424.30305,788.5,123.245,4951.0
Kepler-36,2,2.5885,5.48,15.04345,527.956,5979.0
Kepler-155,2,2.165,5.335,29.2964935,293.499,4508.0
TOI-2537,2,11.976908309999999,1356.65055528,1007.0511,184.986,4870.0
Kepler-137,2,1.6749999999999998,3.475,13.58607,302.979,5187.0
Kepler-115,2,1.8450000000000002,4.295,5.697284,623.609,5979.0
HD 99492,2,4.93,21.7,56.14165,18.2038,4929.0
BD-11 4672,2,9.07,110.97975,854.1,27.1665,4550.0
WASP-18,2,11.239568035000001,1648.5248757,1.548626115,123.483,6432.0
Kepler-151,2,2.575,7.305,19.951785,649.919,5460.0
Kepler-323,2,1.4755,5.35,2.6160754500000003,454.883,6004.0
HD 118203,2,12.589119,2213.674854755,2554.56748895,92.2589,5742.0
KELT-6,2,13.78585,672.21045,641.92285,240.726,6272.0
Kepler-168,2,2.075,5.215,8.8093165,1343.6,6282.0
TOI-4495,2,3.2565,15.45,3.8762600000000003,132.214,6210.0
GJ 411,2,2.605,8.145,1479.4697,5.675773,3719.0
